AA799301_PROBE1	AA799301	Lgtn protein (DBSS)
AA799313_PROBE1	AA799313	sialyltransferase 10 (alpha-2,3-sialyltransferase VI)
AA799329_PROBE1	AA799329	RIKEN cDNA 4632417K18 (Mm.) (DBSS)
AA799331_PROBE1	AA799331	Pelo protein (DBSS)
AA799358_PROBE1	AA799358	ESTs
AA799400_PROBE1	AA799400	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase III (DBSS)
AA799428_PROBE1	AA799428	RIKEN cDNA 1110018J18 (DBSS)
AA799450_PROBE1	AA799450	ESTs
AA799470_PROBE1	AA799470	ESTs
AA799471_PROBE1	AA799471	Telethonin (Titin cap protein) (Mm.) (DBSS_strong)
AA799476_PROBE1	AA799476	RIKEN cDNA 2310042M24 (DBSS)
AA799499_PROBE1	AA799499	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3 (DBSS)
AA799503_PROBE1	AA799503	ESTs
AA799507_PROBE1	AA799507	ESTs
AA799515_PROBE1	AA799515	WD repeat and SOCS box containing protein 2 (Hs.) (DBSS_strong)
AA799526_PROBE1	AA799526	Small nuclear ribonucleoprotein Sm D3 (snRNP core protein D3) (Sm-D3) (Hs.) (DBSS_strong)
AA799532_PROBE1	AA799532	U2 auxiliary factor 26 (DBSS)
AA799544_PROBE1	AA799544	linear IgA disease antigen homolog (DBSS)
AA799550_PROBE1	AA799550	T-cell activation protein
AA799576_PROBE1	AA799576	nucleolar protein GU2 (DBSS)
AA799607_PROBE1	AA799607	ESTs
AA799614_PROBE1	AA799614	sirtuin 2 (silent mating type information regulation 2, homolog) 2 (S. cerevisiae)
AA799636_PROBE1	AA799636	zinc finger DAZ interacting protein 3 (DBSS)
AA799656_PROBE1	AA799656	imogen 44 (DBSS)
AA799661_PROBE1	AA799661	FYVE and coiled-coil domain containing 1 (Hs.) (DBSS)
AA799664_PROBE1	AA799664	v-akt murine thymoma viral oncogene homolog 1
AA799666_PROBE1	AA799666	four and a half LIM domains 2 (Rn.) (DBSS_weak)
AA799676_PROBE1	AA799676	Lactamase, beta 2 (DBSS)
AA799691_PROBE1	AA799691	K-Cl cotransporter KCC4
AA799700_PROBE1	AA799700	Selenide,water dikinase 2 (Selenophosphate synthetase 2) (Selenium donor protein 2) (DBSS)
AA799707_PROBE1	AA799707	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5; NADH dehydrogenase (ubiquinone) 1 beta subcomplex 5 (DBSS)
AA799709_PROBE1	AA799709	SNAP-associated protein
AA799713_PROBE1	AA799713	KIAA1429 protein (DBSS)
AA799741_PROBE1	AA799741	Suppressor of var1, 3-like 1 (DBSS)
AA799751_PROBE1	AA799751	brain-specific angiogenesis inhibitor 1-associated protein 2 (Mm.) (DBSS_moderate)
AA799783_PROBE1	AA799783	ESTs
AA799784_PROBE1	AA799784	RAB6, member RAS oncogene family
AA799789_PROBE1	AA799789	protein kinase, lysine deficient 1; kinase deficient protein (DBSS)
